 ,X,Y,Slice
1,463,703,764
2,469,708,774
3,437,715,782
4,422,713,790
5,338,697,790
6,346,704,782
7,345,703,796
8,397,674,796
9,388,681,805
10,345,706,805
11,399,681,819
12,394,689,832
13,393,689,842
14,399,692,851
15,396,714,860
16,421,752,880
17,392,684,816
18,387,679,808
19,390,684,799
20,394,676,782
21,423,691,773
22,442,711,767
23,450,706,758
24,455,710,748
25,437,713,738
26,468,951,766
27,468,926,756
28,366,890,756
29,476,936,746
30,365,890,746
31,453,902,736
32,389,877,736
33,436,896,727
34,459,732,727
35,451,732,747
36,450,731,739
37,426,589,731
38,425,691,723
39,426,608,715
40,455,750,715
41,396,893,715
42,387,890,734
43,406,885,719
44,404,894,695
45,439,808,686
46,425,905,686
47,447,862,669
48,354,902,661
49,577,741,661
50,395,906,653
51,589,703,653
52,358,928,644
53,606,631,644
54,365,928,635
55,596,637,635
56,664,336,635
57,732,79,635
58,802,382,635
59,680,349,646
60,715,63,646
61,808,380,646
62,696,321,653
63,636,224,653
64,730,40,653
65,791,384,649
66,714,327,658
67,634,219,658
68,747,54,658
69,654,236,664
70,715,337,664
71,775,50,664
72,716,100,628
73,724,408,628
74,835,386,628
75,570,604,628
76,897,446,628
77,929,473,661
78,929,473,653
79,929,473,645
80,913,467,636
81,897,454,626
82,896,454,619
83,874,454,613
84,864,344,613
85,730,94,630
86,653,473,630
87,818,374,630
88,466,762,616
89,344,923,616
90,814,378,616
91,722,98,616
92,334,959,599
93,606,494,599
94,696,99,599
95,867,351,599
96,427,944,589
97,271,947,589
98,645,427,589
99,703,99,589
100,540,644,589
101,866,348,589
102,482,962,579
103,309,905,579
104,493,760,579
105,743,36,579
106,632,403,579
107,834,396,571
108,943,328,571
109,500,729,571
110,679,195,571
111,502,937,571
112,309,903,571
113,316,896,569
114,495,926,569
115,683,957,563
116,483,957,563
117,499,742,563
118,429,812,563
119,630,596,563
120,551,535,563
121,664,259,563
122,835,354,563
123,744,21,560
124,623,306,560
125,835,381,560
126,561,520,560
127,613,642,560
128,667,170,560
129,509,721,560
130,430,812,560
131,546,932,560
132,549,529,552
133,578,660,555
134,623,632,555
135,644,578,555
136,503,723,555
137,581,662,552
138,627,630,552
139,651,578,552
140,655,303,552
141,859,374,552
142,752,16,556
143,650,260,556
144,755,4,550
145,680,197,550
146,889,350,550
147,782,420,550
148,932,333,542
149,821,381,542
150,640,245,542
151,678,85,542
152,667,245,536
153,630,315,536
154,662,79,536
155,851,362,536
156,527,536,536
157,421,965,536
158,711,968,536
159,906,338,527
160,798,404,527
161,538,511,529
162,537,524,520
163,538,497,511
164,944,330,516
165,810,412,516
166,820,404,521
167,905,354,521
168,532,487,503
169,528,488,495
170,518,495,486
171,518,495,477
172,522,474,469
173,502,480,458
174,528,477,444
175,512,476,426
176,508,485,413
177,425,510,413
178,500,475,405
179,410,501,405
180,497,476,390
181,359,528,390
182,501,465,375
183,312,536,375
184,315,531,367
185,499,464,367
186,501,464,355
187,499,448,342
188,510,469,336
189,512,517,336
190,505,453,327
191,515,526,327
192,502,461,319
193,519,534,319
194,492,447,310
195,518,541,310
196,503,449,295
197,522,555,295
198,525,447,280
199,462,450,280
200,466,438,266
201,523,425,266
202,440,410,252
203,550,429,251
204,399,392,241
205,546,426,241
206,392,414,227
207,390,404,213
208,392,369,213
209,378,425,204
210,388,349,204
211,358,425,192
212,383,325,192
213,300,438,175
214,384,308,175
215,327,437,165
216,377,279,165
217,271,432,151
218,327,443,151
219,329,438,142
220,240,431,122
221,331,454,122
222,327,474,85
223,326,483,78
224,326,494,69
225,343,458,92
226,328,452,115
227,330,449,125
228,327,441,135
229,324,441,145
230,414,197,149
231,378,282,149
232,379,275,158
233,830,391,506
234,943,312,506
235,962,315,493
236,793,123,573
237,785,120,564
238,817,76,564
239,789,122,555
240,749,261,555
241,734,302,555
242,737,266,545
243,787,131,545
244,731,276,528
245,957,230,528
246,783,132,528
247,771,201,519
248,721,382,519
249,958,236,519
250,797,56,519
251,744,262,509
252,712,458,509
253,594,550,509
254,962,238,509
255,840,263,494
256,750,266,494
257,683,490,494
258,602,543,470
259,751,337,470
260,683,403,450
261,598,533,450
262,659,478,435
263,527,592,435
264,552,596,427
265,519,632,454
266,389,763,454
267,504,664,464
268,339,782,464
269,433,649,464
270,482,656,478
271,304,840,478
272,257,874,478
273,191,839,496
274,387,753,496
275,514,635,496
276,177,855,513
277,408,736,513
278,564,582,513
279,303,825,530
280,358,746,540
281,285,827,540
282,305,776,551
283,276,833,561
284,279,842,571
285,206,894,582
286,186,897,573
287,158,933,564
288,193,875,563
289,295,849,598
290,296,835,614
291,301,822,628
292,306,827,645
293,288,826,661
294,330,807,679
295,413,727,679
296,336,815,696
297,451,711,696
298,330,804,713
299,355,768,730
300,252,867,592
301,210,892,577
302,350,748,526
303,398,742,517
304,451,693,517
305,558,595,517
306,403,740,508
307,372,699,508
308,456,743,508
309,503,652,494
310,380,750,494
311,368,702,494
312,495,711,494
313,617,550,494
314,602,551,502
315,599,555,486
316,499,641,486
317,367,703,486
318,316,848,486
319,320,772,469
320,495,655,469
321,612,548,469
322,742,333,469
323,525,602,441
324,617,545,441
325,553,595,425
326,565,568,410
327,586,531,400
328,564,564,400
329,585,519,390
330,569,551,390
331,586,515,380
332,584,500,364
333,583,497,348
334,583,487,332
335,580,488,314
336,578,493,299
337,567,492,286
338,560,492,273
339,545,501,260
340,595,450,260
341,533,494,246
342,606,438,246
343,517,489,231
344,614,436,231
345,510,477,216
346,627,430,216
347,464,455,198
348,629,418,198
349,419,405,176
350,626,390,176
351,631,400,162
352,568,410,227
353,570,414,211
354,575,418,189
355,581,376,189
356,580,427,179
357,584,429,170
358,590,436,154
359,618,452,138
360,636,455,141
361,394,373,228
362,242,754,377
363,76,752,377
364,229,751,369
365,75,759,369
366,193,747,360
367,116,753,360
368,120,760,345
369,312,748,345
370,107,766,333
371,378,754,333
372,106,740,321
373,163,752,321
374,423,746,321
375,109,737,311
376,174,744,311
377,463,752,311
378,185,741,299
379,474,744,299
380,512,759,290
381,521,752,281
382,523,756,266
383,541,758,266
384,232,741,266
385,253,744,257
386,561,767,249
387,543,764,258
388,571,773,239
389,210,735,282
390,214,735,273
391,269,746,247
392,280,743,236
393,295,729,221
394,311,721,207
395,315,709,195
396,232,843,39
397,462,844,32
398,462,868,41
399,235,870,41
400,431,884,55
401,249,877,55
402,431,955,28
403,456,858,37
404,424,955,37
405,225,845,37
406,423,944,51
407,449,870,51
408,249,866,51
409,403,950,67
410,428,888,67
411,258,893,67
412,432,919,77
