 ,X,Y,Slice
1,827,460,638
2,564,555,638
3,869,448,618
4,618,454,618
5,819,480,600
6,658,406,600
7,547,585,592
8,636,394,592
9,529,602,578
10,614,385,578
11,518,626,552
12,570,382,552
13,488,656,532
14,548,381,532
15,536,383,511
16,428,701,494
17,508,385,483
18,359,750,462
19,310,786,441
20,454,368,440
21,437,377,407
22,445,387,373
23,300,363,357
24,251,358,287
25,225,356,256
26,773,448,663
27,746,899,590
28,404,910,578
29,708,607,578
30,585,769,560
31,623,753,519
32,658,598,519
33,501,881,503
34,607,602,503
35,753,881,515
36,772,910,487
37,497,912,474
38,557,609,474
39,496,923,456
40,776,937,456
41,526,632,456
42,495,921,435
43,420,616,435
44,627,630,427
45,276,613,427
46,365,626,400
47,623,626,400
48,320,628,362
49,621,646,339
50,233,621,311
51,169,647,283
52,99,705,262
53,211,585,262
54,189,572,241
55,170,566,217
56,128,545,178
57,98,537,141
58,134,553,115
59,139,545,90
60,803,218,133
61,822,200,177
62,842,207,243
63,371,150,171
64,399,46,171
65,454,106,200
66,522,110,242
67,651,150,271
68,806,187,316
69,784,180,355
70,637,154,377
71,884,197,377
72,601,136,405
73,530,133,421
74,909,103,445
75,574,150,445
76,582,98,466
77,539,161,466
78,890,104,466
79,754,683,727
80,737,669,672
81,801,653,637
82,830,647,628
83,849,628,596
84,833,613,585
85,839,617,561
86,879,591,528
87,901,588,495
88,958,546,526
89,957,548,495
90,936,563,479
91,961,541,457
92,724,727,457
93,664,687,429
94,953,502,429
95,808,611,429
96,611,688,407
97,961,467,407
98,865,604,407
99,565,686,376
100,581,665,376
101,444,688,328
102,592,698,328
103,388,681,310
104,569,700,309
105,320,661,274
106,572,707,274
107,245,638,234
108,296,638,234
109,578,715,234
110,138,646,214
111,156,615,200
112,142,596,185
113,110,570,174
114,290,685,272
115,292,727,237
116,603,681,124
117,580,687,97
118,628,679,97
119,609,681,144
120,617,684,174
121,625,684,197
122,618,675,230
123,626,665,281
124,626,650,309
125,626,650,328
126,626,640,357
127,628,630,381
128,628,630,401
129,628,630,422
130,628,630,426
131,636,624,446
 ,X,Y,Slice
1,109,232,31
2,137,201,26
3,229,192,26
4,212,204,26
5,282,232,26
6,232,194,41
7,152,212,41
8,285,225,41
9,132,224,49
10,229,182,49
11,282,222,49
12,164,210,62
13,240,176,62
14,73,244,62
15,277,216,62
16,173,208,70
17,281,210,70
18,242,170,70
19,293,141,70
20,198,200,79
21,306,210,79
22,261,156,79
23,284,209,79
24,308,50,79
25,209,197,88
26,290,196,88
27,282,134,88
28,314,64,88
29,376,129,88
30,233,185,105
31,226,158,105
32,234,160,97
33,301,129,97
34,289,189,107
35,322,124,107
36,330,73,107
37,422,118,107
38,308,166,151
39,433,125,151
40,321,161,158
41,446,134,158
42,414,164,158
43,354,141,168
44,392,124,177
45,392,124,186
46,437,82,196
47,470,98,210
48,470,102,220
49,470,102,238
50,512,98,252
51,592,128,268
52,860,197,268
53,740,185,268
54,529,122,268
55,588,113,286
56,698,157,286
57,837,201,286
58,612,137,304
59,744,173,304
60,872,216,304
61,678,142,321
62,745,176,321
63,898,236,321
64,682,166,334
65,768,178,334
66,897,217,334
67,689,157,344
68,833,186,344
69,960,233,344
70,656,141,354
71,769,173,354
72,892,213,354
73,958,241,354
74,641,141,364
75,686,154,364
76,846,190,364
77,948,234,364
78,633,142,374
79,678,161,374
80,677,122,374
81,829,181,374
82,928,232,374
83,633,144,384
84,837,185,384
85,917,228,384
86,606,130,394
87,892,193,394
