 ,X,Y,Slice
1,362,324,53
2,362,325,51
3,133,358,60
4,378,490,69
5,685,404,78
6,342,334,87
7,200,386,96
8,334,505,102
9,694,613,110
10,740,414,119
11,140,404,127
12,600,110,136
13,536,150,145
14,793,449,154
15,516,330,162
16,232,92,164
17,204,309,177
18,338,454,186
19,206,158,195
20,858,497,204
21,545,397,213
22,740,610,222
23,470,194,231
24,221,196,240
25,489,156,249
26,841,196,258
27,856,745,267
28,570,453,276
29,116,581,285
30,582,470,294
31,221,200,303
32,961,464,312
33,1006,418,322
34,233,181,331
35,308,241,340
36,586,497,349
37,17,514,358
38,74,58,367
39,592,525,376
40,869,465,385
41,729,692,395
42,90,73,404
43,416,100,404
44,720,105,404
45,325,261,413
46,29,521,422
47,300,660,431
48,661,554,439
49,709,684,448
50,348,620,457
51,349,688,466
52,672,573,475
53,722,676,484
54,396,545,493
55,73,514,501
56,345,265,510
57,362,626,518
58,692,662,526
59,525,386,535
60,92,494,543
61,913,120,551
62,750,610,559
63,374,577,566
64,106,510,574
65,732,614,582
66,489,528,591
67,388,533,600
68,137,696,608
69,118,506,617
70,225,740,626
71,470,592,635
72,133,484,644
73,800,601,653
74,897,164,662
75,452,50,670
76,146,469,678
77,834,577,686
78,502,725,694
79,165,453,703
80,442,84,711
81,984,257,719
82,818,577,727
83,954,681,736
84,234,440,744
85,497,89,752
86,200,446,759
87,522,665,768
88,481,686,776
89,825,565,784
90,30,269,792
91,270,413,800
92,533,153,808
93,852,556,816
94,565,673,824
95,520,697,832
96,337,617,840
97,313,656,849
98,606,701,857
99,592,656,865
100,534,397,873
101,588,237,873
102,269,422,873
103,29,278,873
104,92,258,881
105,102,544,888
106,186,494,896
107,924,489,904
108,324,396,912
109,72,562,920
110,82,560,928
111,185,337,936
112,626,392,944
113,474,377,952
114,70,572,960
115,606,498,978
116,428,242,988
117,792,512,997
118,460,400,997
119,637,504,997
120,840,524,1006
121,714,540,1015
122,758,170,1023
1,512,389,910
2,518,394,937
3,462,413,905
4,374,424,881
5,632,244,881
6,250,376,841
7,578,178,841
8,280,414,816
9,86,308,816
10,529,178,816
11,248,424,799
12,510,141,790
13,246,437,766
14,488,188,766
15,510,81,766
16,217,449,747
17,501,100,747
18,180,440,718
19,474,69,700
20,173,468,680
21,470,45,680
22,132,485,649
23,478,28,649
24,136,482,636
25,446,29,636
26,133,493,608
27,460,18,608
28,105,512,575
29,74,592,558
30,93,493,558
31,100,496,549
32,41,621,549
33,25,641,539
34,88,496,539
35,82,528,510
36,65,516,485
37,58,533,457
38,46,524,433
39,41,522,409
40,40,521,383
41,25,528,357
42,28,529,325
43,74,545,303
44,133,586,280
45,17,490,288
46,161,612,271
47,181,616,246
48,193,613,231
49,196,612,215
50,197,610,197
51,201,608,180
52,202,591,158
